BA1,PAYCHECK,PAYCHECK,-7500,,f2bab5a3-1de2-4b3a-a51c-38279f0ef3b4,4,1
BA3,VISA - 03/01 APL*APPLE ITUNES STORE 866-712-7753 CA 00199,APPLE ITUNES STORE,2.66,,55a0b215-3229-4660-90f2-de1d7d23ac75,0,1
BA1,MONEY DESKTOP.  DEALS REDEMPTION #22312-12.  PROVO UT.,MONEY DESKTOP DEALS,25.00,,f2bab5a3-1de2-4b3a-a51c-38279f0ef3b4,4,1
BA3,POINT OF SALE PURCHASE US UT PARK CITY BR OUTLET USA,BR OUTLET,15.95,,4622f34a-f8f1-43f6-853b-5305d4494a7f,0,1
BA3,POINT OF SALE PURCHASE US UT PARK CITY CARTER'S #641 6699 N. L,CARTER'S,7.66,,ed121c92-388b-4033-8ec1-3cefff953725,0,1
BA3,POINT OF SALE PURCHASE US UT LEHI CHEVRON/HOLIDAY OIL #43,CHEVRON/HOLIDAY OIL #43,28.86,,9a822b2c-fa4c-4589-9ebe-1b864b5fcf86,0,1
BA1,CONEYS FROZEN CUSTARD AMERICAN,CONEYS FROZEN CUSTARD,2.4,,83b5d02e-3700-445c-9842-1e14e70d3529,4,1
BA3,VISA - 03/01 COSTA VIDA RIVERTON RIVERTON UT 001026,COSTA VIDA,7.54,,d316ef59-5267-42f6-ad1b-3c07182d70fd,0,1
BA1,WEBCITI CARD ONLINE (PAYMENT),CREDIT CARD PAYMENT,710.83,,46d2cc76-4de4-4897-92d2-6b0dd8a57ef3,4,1
BA2,DIVIDEND,DIVIDEND,-0.08,,f2bab5a3-1de2-4b3a-a51c-38279f0ef3b4,4,1
BA1,LEES ROUNDUP #2 AMERICAN,LEES ROUNDUP,6.66,,9a822b2c-fa4c-4589-9ebe-1b864b5fcf86,4,1
BA1,MACEYS PLEASANT GROVE PLEASANT,MACEYS,22.93,,5de6dfca-30a5-47b5-b09c-94d189e77739,4,1
BA3,POINT OF SALE PURCHASE US UT PARK CITY OSHKOSH #0081 6699 N LA,POINT OF SALE PURCHASE US UT PARK CITY OSHKOSH #0081 6699 N LA,6.38,,ed121c92-388b-4033-8ec1-3cefff953725,0,1
BA3,POINT OF SALE PURCHASE US UT PARK CITY THE CHILDRENS PLACE #14,POINT OF SALE PURCHASE US UT PARK CITY THE CHILDRENS PLACE #14,4.79,,ed121c92-388b-4033-8ec1-3cefff953725,0,1
BA2,SENSUOUS SANDWICH OREM 1 OREM,SENSUOUS SANDWICH,3.82,,83b5d02e-3700-445c-9842-1e14e70d3529,4,1
BA1,WAL-MART #5270 LINDON UTUS,WALMART,30.39,,7d1a04ae-80d1-4a26-bed0-007849e96979,4,1
BA1,WAL-MART #4689 CEDAR HILLS UTUS,WALMART,42.1,,7d1a04ae-80d1-4a26-bed0-007849e96979,4,1
